userId,pred_rating,title,genres
Taylor,3.89,Seven Pounds (2008),Drama
Taylor,3.61,Cure The (1995),Drama
Taylor,3.55,Kiss Me Guido (1997,Comedy
Taylor,3.29,You've Got Mail (199,Comedy|Romance
Taylor,3.27,10 Things I Hate Abo,Comedy|Romance
Taylor,3.26,Corrina Corrina (19,Comedy|Drama|R
Jane,4.96,Fear (1996),Thriller
Jane,4.85,Lord of the Rings: T,Adventure|Fant
Jane,4.70,Lord of the Rings: T,Adventure|Fant
Jane,4.55,No Holds Barred (198,Action
Jane,4.54,Lord of the Rings: T,Action|Adventu
Jane,4.30,Band of Brothers (20,Action|Drama|W
Jane,4.26,Transformers (2007),Action|Sci-Fi|